,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,Maragogi,-9.01,-35.22,79.93,76,0,10.83,BR,1603306588
297,Stolin,51.89,26.85,49.6,76,100,4.83,BY,1603306588
298,Mlowo,-9,32.98,68.22,58,100,6.87,TZ,1603306589
299,Kloulklubed,7.04,134.26,80.6,88,90,5.82,PW,1603306589
300,Itumba,-9.4,33.18,66.88,66,100,7,TZ,1603306589
301,Sur,22.57,59.53,74.88,64,97,2.51,OM,1603306589
302,Neuquén,-38.95,-68.06,73.4,23,0,20.8,AR,1603306589
303,Nichinan,31.6,131.37,68,77,100,8.01,JP,1603306590
304,Te Anau,-45.42,167.72,39.43,84,89,1.1,NZ,1603306590
305,Klaksvík,62.23,-6.59,37.4,86,47,6.93,FO,1603306590
306,Tres Arroyos,-38.37,-60.28,63.59,39,0,16.35,AR,1603306590
307,Gondal,21.97,70.8,81.9,71,35,7.72,IN,1603306590
308,Longyearbyen,78.22,15.64,17.6,78,20,8.05,SJ,1603306591
309,Santa Cruz de la Sierra,-17.8,-63.17,90.66,41,89,3.87,BO,1603306358
310,Sambava,-14.27,50.17,75.15,79,90,14.76,MG,1603306448
311,Ust'-Uda,54.17,103.03,30.56,95,12,3.96,RU,1603306591
312,Linjiang,41.81,126.91,41.29,81,93,2.1,CN,1603306591
313,Sinjār,36.32,41.88,72.16,26,0,7.47,IQ,1603306592
314,Bhinga,27.72,81.93,73.44,62,40,3.02,IN,1603306592
315,Ketchikan,55.34,-131.65,42.8,75,1,9.17,US,1603306361
316,Tulun,54.56,100.58,31.77,94,79,5.84,RU,1603306592
317,Shingū,33.73,135.98,63.32,88,99,11.41,JP,1603306592
318,Bandarbeyla,9.49,50.81,80.71,68,2,1.01,SO,1603306593
319,Pimentel,-6.84,-79.93,73.4,60,99,19.46,PE,1603306593
320,Pisco,-13.7,-76.22,71.6,60,1,8.05,PE,1603306593
321,Abu Kamal,34.45,40.92,73.44,26,0,5.66,SY,1603306593
322,Huarmey,-10.07,-78.15,70.68,65,7,11.43,PE,1603306593
323,Troitsko-Pechorsk,62.71,56.2,27.64,95,100,6.33,RU,1603306594
324,Yangi Marg`ilon,40.43,71.72,53.6,46,34,4.7,UZ,1603306296
325,Vardø,70.37,31.11,30.2,92,75,12.75,NO,1603306470
326,Fairbanks,64.84,-147.72,23,92,90,1.12,US,1603306544
327,Cerrito,6.84,-72.69,82.4,65,40,3.36,CO,1603306594
328,Manyana,-23.4,21.72,83.01,15,15,11.95,BW,1603306595
329,Qaqortoq,60.72,-46.03,32,88,75,5.73,GL,1603306307
330,Shiyan,32.65,110.78,56.03,61,0,4.68,CN,1603306595
331,Nome,64.5,-165.41,39.2,93,75,3.94,US,1603306596
332,Yagodnoye,62.55,149.67,11.5,83,80,1.39,RU,1603306596
333,Birakan,49.02,131.7,33.96,94,6,2.75,RU,1603306596
334,Yellowknife,62.46,-114.35,25,79,90,17.22,CA,1603306398
335,Waingapu,-9.66,120.26,79.14,76,0,1.3,ID,1603306596
336,Burgos,42.34,-3.71,50,93,20,8.05,ES,1603306597
337,Rio Verde de Mato Grosso,-18.92,-54.84,90.12,44,66,6.58,BR,1603306597
338,Mahajanga,-15.72,46.32,82.4,69,20,11.41,MG,1603306597
339,Sungai Penuh,-2.08,101.38,65.23,93,100,1.41,ID,1603306597
340,Diplo,24.47,69.58,82.87,45,0,8.81,PK,1603306597
341,Ābyek,36.07,50.55,55.4,66,0,13.87,IR,1603306598
342,Umeå,63.83,20.26,37.4,100,90,3.36,SE,1603306598
343,Abu Samrah,35.3,37.18,65.46,82,0,9.69,SY,1603306598
344,Kjøllefjord,70.95,27.35,33.8,80,75,7.61,NO,1603306598
345,Nanortalik,60.14,-45.24,33.78,88,100,13.42,GL,1603306599
346,Simao,22.79,100.97,55.26,82,94,2.08,CN,1603306599
347,Viedma,-40.81,-63,62.01,33,97,4,AR,1603306599
348,El Salvador,13.83,-88.92,82.4,69,40,4.7,SV,1603306418
349,Paciran,-6.88,112.38,80.47,78,96,3.71,ID,1603306599
350,Kiama,-34.68,150.87,61,87,96,1.01,AU,1603306600
351,Ayagoz,47.97,80.44,50.45,43,0,19.77,KZ,1603306358
352,Beruwala,6.48,79.98,80.49,84,3,11.25,LK,1603306600
353,Karacabey,40.22,28.4,66.2,77,20,25.28,TR,1603306600
354,Basco,20.45,121.97,83.55,85,100,20.4,PH,1603306601
355,Golspie,57.97,-3.98,51.01,96,100,5.99,GB,1603306601
356,Xuanwu,32.07,118.81,61,93,100,4.9,CN,1603306601
357,St. George's,12.06,-61.75,87.8,70,20,17.22,GD,1603306541
358,Arlit,18.74,7.39,93.78,10,40,11.1,NE,1603306506
359,Yala,6.33,101.25,75.49,89,100,2.33,TH,1603306601
360,Pringsewu,-5.36,104.97,75,88,92,3.24,ID,1603306602
361,Ola,59.58,151.28,29.61,85,4,7.23,RU,1603306602
362,Qasigiannguit,68.82,-51.19,32,92,75,6.93,GL,1603306602
363,Lincoln,40.8,-96.67,50,66,90,6.93,US,1603306303
364,Chapais,49.78,-74.85,32,99,90,11.41,CA,1603306603
365,Port Hardy,50.7,-127.42,48.2,70,20,10.29,CA,1603306603
366,Puerto Baquerizo Moreno,-0.9,-89.6,73.4,78,75,10.29,EC,1603306603
367,Celestún,20.87,-90.4,82.72,80,8,8.59,MX,1603306603
368,Faya,18.39,42.45,68,17,0,11.41,SA,1603306603
369,Broome,42.25,-75.83,75.99,64,20,11.41,US,1603306604
370,Tari,12.41,4.49,86.58,25,54,6.73,NG,1603306604
371,Codrington,-38.27,141.97,43.03,91,6,5.44,AU,1603306604
372,Walvis Bay,-22.96,14.51,60.8,77,97,13.87,NA,1603306374
373,Ashington,50.93,-0.39,59,93,20,12.75,GB,1603306605
374,Boshnyakovo,49.63,142.17,50.54,93,100,16.62,RU,1603306605
375,Nevers,46.99,3.16,64.4,72,100,4.7,FR,1603306605
376,Zhengjiatun,43.51,123.51,35.02,70,0,8.99,CN,1603306605
377,Sechura,-5.56,-80.82,77.04,52,77,13,PE,1603306605
378,Takoradze,4.88,-1.76,78.24,90,70,9.28,GH,1603306605
379,Ixtapa,20.7,-105.2,89.6,62,20,9.17,MX,1603306606
380,Toro,4.61,-76.08,78.8,57,40,4.7,CO,1603306606
381,Grindavik,63.84,-22.43,41,80,75,19.46,IS,1603306606
382,Örnsköldsvik,63.29,18.72,33.8,100,100,3.36,SE,1603306348
383,Santa Maria da Boa Vista,-8.81,-39.83,98.55,16,0,12.68,BR,1603306606
384,Kisi,9.08,3.85,79.66,57,0,2.37,NG,1603306607
385,Datong,40.09,113.29,36.66,61,0,6.17,CN,1603306607
386,Hofn,64.25,-15.21,28.4,92,75,4.7,IS,1603306607
387,Chernyshevskiy,63.01,112.47,7.81,97,2,3.18,RU,1603306607
388,Kindu,-2.95,25.95,74.28,73,98,2.24,CD,1603306607
389,Along,28.17,94.77,64.15,86,12,2.08,IN,1603306608
390,Paso de Carrasco,-34.86,-56.05,63,59,75,20.8,UY,1603306608
391,Palu,-0.89,119.87,75.79,82,38,2.57,ID,1603306344
392,Hasaki,35.73,140.83,57.2,87,75,9.17,JP,1603306602
393,Warri,5.52,5.75,77.38,91,19,4.32,NG,1603306608
394,Labuhan,-6.88,112.21,80.01,80,85,5.26,ID,1603306609
395,Malpe,13.35,74.72,77,88,75,3.36,IN,1603306609
396,Nouadhibou,20.93,-17.03,75.2,78,0,18.34,MR,1603306609
397,Santa Marinella,42.03,11.85,54,93,0,8.86,IT,1603306609
398,Gijang,35.24,129.21,59,87,90,3.36,KR,1603306609
399,Olafsvik,64.89,-23.71,40.41,92,100,27.69,IS,1603306609
400,Bilibino,68.05,166.44,22.08,96,93,1.01,RU,1603306610
401,Khasan,42.43,130.64,52.7,74,79,13.4,RU,1603306610
402,Mombetsu,44.35,143.35,54,68,100,5.01,JP,1603306610
403,Rock Sound,24.9,-76.2,81.46,76,100,20.38,BS,1603306610
404,Sarkand,45.41,79.92,54.32,34,0,6.08,KZ,1603306610
405,Saint-François,46.42,3.91,66.2,55,100,16.11,FR,1603306611
406,Buduslău,47.4,22.27,51.8,76,88,5.82,RO,1603306611
407,Port Pirie,-33.18,138.02,59,87,100,8.05,AU,1603306611
408,Øystese,60.39,6.19,50,95,100,1.99,NO,1603306611
409,Bo Phloi,14.32,99.52,72.9,87,100,3.96,TH,1603306611
410,Pucara,-15.98,-71.46,68,8,40,6.93,PE,1603306612
411,Garden City,42.33,-83.33,61,62,75,8.05,US,1603306612
412,Port Macquarie,-31.43,152.92,55,93,14,1.12,AU,1603306364
413,Buala,-8.14,159.59,80.71,75,92,5.79,SB,1603306612
414,Radinac,44.63,20.97,59,62,100,8.05,RS,1603306612
415,Perth,-31.93,115.83,57.99,67,0,10.29,AU,1603306439
416,Khorinsk,52.17,109.77,25.23,96,72,3.91,RU,1603306613
417,Guerrero Negro,27.98,-114.06,76.37,58,11,9.48,MX,1603306613
418,Rawson,-43.3,-65.1,66.2,34,75,20.8,AR,1603306613
419,Langsa,4.47,97.97,75.78,92,100,1.88,ID,1603306613
420,Impfondo,1.64,18.07,71.2,91,100,2.06,CG,1603306614
421,Elliot,-31.33,27.85,53.15,86,100,3.44,ZA,1603306614
422,Prado,-17.34,-39.22,78.48,70,42,12.12,BR,1603306614
423,Tiznit Province,29.58,-9.5,66.31,70,96,5.48,MA,1603306614
424,Thunder Bay,48.4,-89.32,37.4,93,90,6.93,CA,1603306614
425,Botad,22.17,71.67,85.28,59,23,7.45,IN,1603306614
426,Sioux Lookout,50.1,-91.92,32,83,90,2.24,CA,1603306615
427,Melville,40.79,-73.42,71.01,77,90,9.17,US,1603306615
428,Papara,-3.98,-38.73,86,66,20,12.75,BR,1603306615
429,Mananjary,-21.22,48.33,70.36,80,77,4.29,MG,1603306615
430,Svetlaya,46.54,138.33,51.39,83,100,12.35,RU,1603306615
431,Wodonga,-36.12,146.88,50,93,0,2.8,AU,1603306616
432,Camacha,33.08,-16.33,66.2,63,20,16.11,PT,1603306616
433,Ambon City,-3.7,128.18,78.01,15,100,4.18,ID,1603306616
434,Pontassieve,43.77,11.43,60.01,76,20,3.36,IT,1603306616
435,Villarrica,-25.75,-56.43,90.25,42,98,2.19,PY,1603306616
436,Tongren,27.72,109.19,56.14,77,69,2.33,CN,1603306616
437,Miles City,46.41,-105.84,32,84,90,5.82,US,1603306617
438,Durazno,-33.41,-56.5,68,52,75,18.34,UY,1603306617
439,Rājāpur,25.38,81.15,74.7,29,6,2.3,IN,1603306617
440,Caravelas,-17.71,-39.25,78.66,71,100,8.63,BR,1603306394
441,Calama,-22.47,-68.93,77,9,0,20.8,CL,1603306617
442,São José do Belmonte,-7.86,-38.76,97.81,19,1,9.4,BR,1603306617
443,Yabēlo,4.88,38.08,63.09,84,77,9.57,ET,1603306618
444,Brawley,32.98,-115.53,91,28,1,3.36,US,1603306618
445,Kruisfontein,-34,24.73,60.01,71,0,1.01,ZA,1603306618
446,Nicoya,10.15,-85.45,86,74,40,6.93,CR,1603306618
447,Safi,32.3,-9.24,67.1,86,100,16.22,MA,1603306619
448,Stromness,58.97,-3.3,48.2,93,100,27.51,GB,1603306619
449,Sitka,57.05,-135.33,35.6,55,1,5.82,US,1603306619
450,Nelson Bay,-32.72,152.15,57.99,93,100,3.36,AU,1603306619
451,Provincia di Imperia,43.97,7.78,60.8,87,40,19.46,IT,1603306619
452,Marrakesh,31.63,-8.01,68,77,75,3.36,MA,1603306518
453,Lagoa,39.05,-27.98,63.32,68,0,20.47,PT,1603306620
454,Egvekinot,66.32,-179.17,32.23,100,73,9.06,RU,1603306490
455,Yaroslavl,57.63,39.87,26.6,86,8,4.47,RU,1603306620
456,Nanfeng,23.74,111.8,60.46,80,88,2.98,CN,1603306511
457,Omboué,-1.57,9.26,77.4,85,100,4.7,GA,1603306620
458,São João da Barra,-21.64,-41.05,82.4,61,20,12.75,BR,1603306621
459,Malinovskiy,61.2,62.84,27.7,96,96,4.16,RU,1603306621
460,Matata,-37.88,176.75,59,95,23,1.01,NZ,1603306621
461,Isiro,2.77,27.62,69.26,97,100,1.95,CD,1603306622
462,Sola,-13.88,167.55,77,100,75,15.01,VU,1603306622
463,High Prairie,55.43,-116.49,20.14,86,97,9.53,CA,1603306622
464,Fethiye,36.62,29.12,66.2,82,75,2.24,TR,1603306622
465,Myitkyina,25.38,97.4,71.37,96,98,1.86,MM,1603306622
466,Khovd,48.01,91.64,30.29,86,0,0.89,MN,1603306623
467,Port Keats,-14.25,129.55,82.09,76,100,7.61,AU,1603306623
468,Mardin,37.31,40.74,71.6,37,0,9.17,TR,1603306623
469,Zhigansk,66.77,123.37,15.04,97,100,3.36,RU,1603306623
470,Mtwara,-10.27,40.18,77,83,20,7.14,TZ,1603306623
471,Magdagachi,53.45,125.8,25.39,89,100,11.41,RU,1603306623
472,Deputatsky,69.3,139.9,6.71,97,100,1.95,RU,1603306624
473,Mapastepec,15.43,-92.9,87.19,63,23,5.88,MX,1603306624
474,Esparta,15.74,-87.18,91.4,66,20,13.87,HN,1603306624
475,Anloga,5.79,0.9,80.6,83,20,10.29,GH,1603306624
476,Dhidhdhoo,6.88,73.1,81.72,78,100,9.91,MV,1603306624
477,Trincomalee,8.57,81.23,81.12,78,1,17.47,LK,1603306625
478,Kysyl-Syr,63.9,122.76,17.44,97,100,3.83,RU,1603306625
479,Puerto Escondido,15.85,-97.07,86,70,40,13.87,MX,1603306625
480,Kargat,55.2,80.28,43.43,62,100,10,RU,1603306625
481,Turaif,31.67,38.66,71.6,33,0,13.87,SA,1603306326
482,Saskylakh,71.92,114.08,8.22,94,91,4,RU,1603306626
483,Tezu,27.92,96.17,71.91,66,0,3.47,IN,1603306626
484,Novoorsk,51.38,58.98,37.4,64,15,13.42,RU,1603306626
485,Mahabalipuram,12.63,80.17,80.6,94,75,6.15,IN,1603306626
486,Lima,-12.04,-77.03,70,64,20,16.11,PE,1603306611
487,Iracoubo,5.48,-53.2,85.78,64,4,13.11,GF,1603306626
488,Tevaitoa,-16.78,-151.5,79.54,77,0,14.54,PF,1603306627
489,Palmer,42.16,-72.33,72,68,75,5.82,US,1603306568
490,Shawnee,39.05,-95.77,48.2,81,90,9.17,US,1603306627
491,Songyuan,45.12,124.86,35.55,76,0,8.52,CN,1603306627
492,Ilebo,-4.32,20.58,73.04,93,100,2.19,CD,1603306627
493,Ol'ga,43.74,135.29,53.73,87,100,5.53,RU,1603306627
494,Tautira,-17.73,-149.15,84.2,66,75,3.36,PF,1603306628
495,Bathsheba,13.22,-59.52,87.8,70,20,11.41,BB,1603306628
496,Karratha,-20.74,116.85,66.42,62,100,11.92,AU,1603306628
497,Vila Velha,-20.33,-40.29,80.01,74,75,10.29,BR,1603306627
498,Iisalmi,63.56,27.19,33.8,95,90,12.75,FI,1603306628
499,Upington,-28.45,21.26,75.2,13,0,5.82,ZA,1603306628
500,Haverfordwest,51.8,-4.97,55,100,100,5.82,GB,1603306629
501,Mauá,-23.67,-46.46,73.4,73,75,16.11,BR,1603306629
502,Isla Mujeres,21.23,-86.73,86,70,40,5.82,MX,1603306629
503,Oddur,4.12,43.89,79.63,63,30,5.97,SO,1603306629
504,Jimma,7.67,36.83,59.41,80,8,1.57,ET,1603306629
505,Kashgar,39.45,75.98,50,31,0,11.18,CN,1603306629
506,Ambulu,-8.35,113.61,75.85,88,100,2.8,ID,1603306630
507,Fredericksburg,38.3,-77.46,79,74,75,6.93,US,1603306581
508,Lewiston,44.1,-70.21,55,93,90,6.73,US,1603306524
509,Knappskog,60.38,5.06,50,93,75,4.7,NO,1603306630
510,Hurghada,27.26,33.81,82.4,65,0,9.17,EG,1603306353
511,Cagdianao,9.92,125.67,82.49,76,100,3.94,PH,1603306631
512,Sakakah,29.97,40.21,75.2,13,0,4.7,SA,1603306632
513,Warmbad,-28.45,18.73,76.6,14,0,11.79,NA,1603306632
514,Atambua,-9.11,124.89,73.51,79,18,1.74,ID,1603306632
515,Nemuro,43.32,145.57,55.24,71,100,21.45,JP,1603306392
516,Uray,60.12,64.78,28.94,98,54,4.85,RU,1603306632
517,Iqaluit,63.75,-68.51,32,94,75,3.36,CA,1603306632
518,Aklavik,68.22,-135.01,14,92,75,2.24,CA,1603306633
519,Fort Nelson,58.81,-122.7,21.2,67,75,8.05,CA,1603306633
520,Nochistlán de Mejía,21.37,-102.85,75.2,25,5,4.7,MX,1603306633
521,Fécamp,49.76,0.37,60.8,82,75,13.87,FR,1603306633
522,Port Augusta,-32.5,137.77,64,87,98,8.05,AU,1603306633
523,Jérémie,18.65,-74.12,84.07,70,92,4.03,HT,1603306634
524,Trelew,-43.25,-65.31,66.2,34,75,20.8,AR,1603306634
525,Filomeno Mata,20.2,-97.7,86,66,40,8.05,MX,1603306634
526,Paamiut,61.99,-49.67,35.08,83,100,29.53,GL,1603306634
527,Jardim,-21.48,-56.14,94.19,37,33,3.11,BR,1603306635
528,Oranjemund,-28.55,16.43,67.91,46,0,22.59,NA,1603306635
529,Rāzole,16.48,81.83,77.94,92,100,4.25,IN,1603306635
530,Lodja,-3.48,23.43,73.45,84,49,2.33,CD,1603306635
531,Aripuanã,-9.17,-60.63,96.31,37,94,2.68,BR,1603306636
532,Port Blair,11.67,92.75,80.94,83,83,10.92,IN,1603306636
533,Samoylovka,51.18,43.71,39.52,69,100,10.13,RU,1603306636
534,Irricana,51.32,-113.6,28,88,100,3,CA,1603306636
535,Ilulissat,69.22,-51.1,32,93,75,6.93,GL,1603306636
536,Rio Grande,-32.03,-52.1,61,94,100,3,BR,1603306379
537,Alta Floresta,-9.88,-56.09,93.04,37,76,2.84,BR,1603306637
538,Zonguldak,41.25,31.83,55.76,79,0,3.67,TR,1603306637
539,Bambanglipuro,-7.95,110.28,76.84,82,79,2.84,ID,1603306637
540,Ranong,9.97,98.63,79.39,78,100,2.53,TH,1603306637
541,Pargas,60.31,22.3,51.01,100,75,5.82,FI,1603306637
542,Santa Maria,-29.68,-53.81,79.07,61,0,14.67,BR,1603306638
543,Adrar,20.5,-10.07,90.64,15,100,6.2,MR,1603306534
544,Itarema,-2.92,-39.92,84.18,65,85,17.81,BR,1603306506
545,Sangar,63.92,127.47,15.85,97,99,0.94,RU,1603306401
546,Ronneby,56.21,15.28,53.6,100,90,11.41,SE,1603306638
547,Acapulco de Juárez,16.86,-99.89,84.2,83,90,5.82,MX,1603306340
548,Karaton,-6.34,106.1,79,88,40,2.24,ID,1603306639
549,Ongandjera,-17.88,15.07,80.08,16,0,4.83,NA,1603306639
550,Natchitoches,31.77,-93.13,84.2,62,40,5.82,US,1603306639
551,Chapleau,47.84,-83.4,33.8,96,90,5.82,CA,1603306451
552,Shubarkuduk,49.14,56.49,39.24,71,34,13.47,KZ,1603306639
553,Angoche,-16.23,39.91,77.68,82,0,7.56,MZ,1603306640
554,Nosy Varika,-20.58,48.53,70.95,78,91,3.6,MG,1603306640
555,Akhtanizovskaya,45.32,37.1,44.6,75,96,6.71,RU,1603306640
556,Manturovo,58.34,44.76,29.3,95,3,7.52,RU,1603306640
557,Amboasary,-25.03,46.38,75.2,88,20,24.16,MG,1603306640
558,Nishihara,26.18,127.76,77,100,75,15.46,JP,1603306445
559,Būndi,25.44,75.64,81.25,27,47,4.45,IN,1603306641
560,Punta de Piedra,7.62,-71.49,86.97,67,83,2.35,VE,1603306641
561,Roald,62.58,6.13,42.8,75,75,16.11,NO,1603306518
562,Nālūt,30.33,10.85,73.2,37,0,10.83,LY,1603306641
563,Tucuruí,-3.77,-49.67,93.96,42,93,3.69,BR,1603306641
564,Jacutinga,-22.29,-46.61,75.16,72,8,9.15,BR,1603306641
565,Eyl,7.98,49.82,82.67,72,0,3.58,SO,1603306642
566,Houma,29.6,-90.72,87.8,58,75,13.87,US,1603306642
567,Dali,25.7,100.18,48.34,90,94,4.54,CN,1603306642
568,Beyneu,45.32,55.2,42.22,65,100,12.28,KZ,1603306642
569,Loandjili,-4.76,11.86,78.24,83,100,8.05,CG,1603306642
570,Beloha,-25.17,45.05,72.07,73,0,12.66,MG,1603306643
571,College,64.86,-147.8,23,92,90,1.12,US,1603306643
572,Kenai,60.55,-151.26,30.99,92,1,7.07,US,1603306643
573,Arkhangelsk,64.54,40.54,26.6,100,40,2.21,RU,1603306643
574,Kumluca,36.37,30.29,68.23,62,13,6.64,TR,1603306643
575,Hyères,43.12,6.12,66.2,77,100,21.92,FR,1603306643
576,Mel'nikovo,56.56,84.08,42.15,66,100,8.81,RU,1603306644
577,Meteş,46.1,23.42,42.8,87,40,2.24,RO,1603306644
578,Ponta Delgada,37.73,-25.67,62.6,72,75,13.87,PT,1603306644
579,Dembī Dolo,8.53,34.8,57.85,100,48,2.35,ET,1603306644
580,Lüderitz,-26.65,15.16,66.81,47,0,4.12,NA,1603306644
581,Kuybysheve,47.36,36.65,48.22,66,100,6.15,UA,1603306645
582,Synya,65.37,58.04,23.79,97,100,6.2,RU,1603306645
583,Kisláng,46.96,18.39,57.99,65,47,5.99,HU,1603306645
584,Sumenep,-7.02,113.87,81.77,75,100,3.96,ID,1603306645
585,Nhulunbuy,-12.23,136.77,75.2,88,80,3.51,AU,1603306645
586,Quelimane,-17.88,36.89,78.01,83,0,15.99,MZ,1603306408
587,Dolni Dabnik,43.4,24.43,51.8,62,5,2.24,BG,1603306646
588,Ibrā’,22.69,58.53,67.32,37,79,3.31,OM,1603306365
589,Richards Bay,-28.78,32.04,65.19,77,81,3.6,ZA,1603306646
590,Līsakovsk,52.54,62.49,39.25,70,100,10.51,KZ,1603306646
591,Nabire,-3.37,135.48,74.95,89,64,3.58,ID,1603306646
592,Manggar,-2.88,108.27,80.33,83,58,5.17,ID,1603306647
593,Chingirlau,51.09,54.08,35.46,81,78,12.35,KZ,1603306647
